# File assembled by A. J. Schultz, November, 2009.
#
# Except for hydrogen, cross-section values are from the NIST web site:
# http://www.ncnr.nist.gov/resources/n-lengths/list.html
# which contains values from:
# V. F. Sears, Neutron News, Vol. 3, No. 3, 1992, pp. 29-37.
#
# Hydrogen cross-sections are from:
# Howard, J. A. K.; Johnson, O.; Schultz, A. J.; Stringer, A. M.
#	J. Appl. Cryst. 1987, 20, 120-122.
#
# Atomic weights are from the atmdata.dat file in the GSAS distribution:
# A.C. Larson and R.B. Von Dreele, General Structure Analysis System (GSAS),
# Los Alamos National Laboratory Report LAUR 86-748 (2004).
# In the file, there is this citation:
# At wts from 14th ed Nuclides & Isotopes, 1989 GE Co.
#
# The table contains the following:
#
# Column  Unit    Quantity  
# ------  ----    --------
#      1  ---     Isotope  
#      2  barn    total bound scattering cross section  
#      3  barn    absorption cross section for 2200 m/s neutrons (wavelength = 1.8 A)
#      4  ---     Atomic number
#      5  g/mole  Atomic weight
#
# Note: 1 barn = 1E-24 cm^2
#
163Dy       3.300     124.000000    66        --- 
164Dy     307.000    2840.000000    66        --- 
Ho          8.420      64.700000    67    164.930 
Er          8.700     159.000000    68    167.260 
162Er       9.700      19.000000    68        --- 
164Er       8.400      13.000000    68        --- 
166Er      14.100      19.600000    68        --- 
167Er       1.200     659.000000    68    166.932 
168Er       6.900       2.740000    68        --- 
170Er      11.600       5.800000    68        --- 
Tm          6.380     100.000000    69    168.934 
Yb         23.400      34.800000    70    173.040 
168Yb       2.130    2230.000000    70    167.934 
170Yb       5.800      11.400000    70        --- 
171Yb      15.600      48.600000    70        --- 
172Yb      11.200       0.800000    70        --- 
173Yb      15.000      17.100000    70        --- 
174Yb      46.800      69.400000    70        --- 
176Yb       9.600       2.850000    70        --- 
Lu          7.200      74.000000    71    174.967 
175Lu       7.200      21.000000    71        --- 
176Lu       5.900    2065.000000    71    175.943 
Hf         10.200     104.100000    72    178.490 
174Hf      15.000     561.000000    72        --- 
176Hf       5.500      23.500000    72        --- 
177Hf       0.200     373.000000    72        --- 
178Hf       4.400      84.000000    72        --- 
179Hf       7.100      41.000000    72        --- 
180Hf      21.900      13.040000    72        --- 
Ta          6.010      20.600000    73    180.948 
180Ta       7.000     563.000000    73        --- 
181Ta       6.010      20.500000    73    180.948 
W           4.600      18.300000    74    183.850 
180W        3.000      30.000000    74        --- 
182W        6.100      20.700000    74        --- 
183W        5.700      10.100000    74        --- 
184W        7.030       1.700000    74        --- 
186W        0.065      37.900000    74        --- 
Re         11.500      89.700000    75    186.207 
185Re      10.700     112.000000    75        --- 
187Re      11.900      76.400000    75        --- 
Os         14.700      16.000000    76    190.200 
184Os      13.000    3000.000000    76        --- 
186Os      17.000      80.000000    76        --- 
187Os      13.000     320.000000    76        --- 
188Os       7.300       4.700000    76        --- 
189Os      14.900      25.000000    76        --- 
190Os      15.200      13.100000    76        --- 
192Os      16.600       2.000000    76        --- 
Ir         14.000     425.000000    77    192.220 
191Ir         ---     954.000000    77        --- 
193Ir         ---     111.000000    77        --- 
Pt         11.710      10.300000    78    195.090 
190Pt      10.000     152.000000    78        --- 
192Pt      12.300      10.000000    78        --- 
194Pt      14.000       1.440000    78        --- 
195Pt       9.900      27.500000    78        --- 
196Pt      12.300       0.720000    78        --- 
198Pt       7.600       3.660000    78        --- 
Au          7.750      98.650000    79    196.967 
Hg         26.800     372.300000    80    200.590 
196Hg     115.000    3080.000000    80        --- 
198Hg         ---       2.000000    80        --- 
199Hg      66.000    2150.000000    80        --- 
200Hg         ---      60.000000    80        --- 
201Hg         ---       7.800000    80        --- 
202Hg       9.828       4.890000    80        --- 
204Hg         ---       0.430000    80        --- 
Tl          9.890       3.430000    81    204.370 
203Tl       6.280      11.400000    81        --- 
205Tl      11.400       0.104000    81        --- 
Pb         11.118       0.171000    82    207.200 
204Pb      12.300       0.650000    82        --- 
206Pb      10.680       0.030000    82        --- 
207Pb      10.820       0.699000    82        --- 
208Pb      11.340       0.000480    82        --- 
Bi          9.156       0.033800    83    208.980 
Po            ---            ---    84        --- 
At            ---            ---    85        --- 
Rn         12.600            ---    86        --- 
Fr            ---            ---    87        --- 
Ra         13.000      12.800000    88        --- 
Ac            ---            ---    89        --- 
Th         13.360       7.370000    90    232.038 
Pa         10.500     200.600000    91    231.036 
U           8.908       7.570000    92    238.029 
233U       12.900     574.700000    92        --- 
234U       19.300     100.100000    92        --- 
235U       14.000     680.900000    92    235.044 
238U        8.871       2.680000    92    238.051 
Np         14.500     175.900000    93        --- 
Pu            ---            ---    94        --- 
238Pu      25.000     558.000000    94        --- 
239Pu       7.700    1017.300000    94        --- 
240Pu       1.540     289.600000    94        --- 
242Pu       8.200      18.500000    94        --- 
Am          9.000      75.300000    95        --- 
Cm            ---            ---    96        --- 
244Cm      11.300      16.200000    96        --- 
246Cm      10.900       1.360000    96        --- 
248Cm       7.500       3.000000    96        --- 
